pk_debito,situacao,moeda
127,Julgamento 1ª e 2ª Instância/Dec. Administ.-Débito Excluído,Real
128,Substit. p/débito acumulado,Real
129,Quitado. Baixa manual,Cruzeiro (90 a 93)
130,Para homologação/prazo de defesa,Cruzeiro (90 a 93)
131,Quitado por conversão de renda,Cruzeiro Real
132,Baixado c/base na IN 8/99(Port.267/88),BTN
133,Análise admis/mérito de impugnação/defesa,BTN
134,Pagamento 10% da recuperação ambiental,Real
135,Excluído devido a duplicidade de lançamento,BTN
136,Para homologação/prazo de defesa,Cruzeiro Real
137,Excluído devido a duplicidade de lançamento,Cruzeiro (70 a 86)
138,Baixado c/base na IN 23/01.IN/IBDF 01/80,OTN
139,Baixado - Pedido revisional deferido,Cruzeiro Real
140,Baixado c/base na IN 8/99(Port.267/88),Cruzado
141,Baixado c/base na IN 23/01.IN/IBDF 01/80,MVR
142,Excluído devido a duplicidade de lançamento,OTN
143,Baixado c/base na IN 23/01.IN/IBDF 01/80,Cruzeiro Real
144,Quitado. Baixa automática,Cruzeiro (70 a 86)
145,Cancelado,Cruzado
146,Cancelado,Cruzado Novo
147,Baixado c/base na IN 8/99(Port.267/88),MVR
148,Quitado. Baixa manual,Cruzado
149,Baixado c/base na IN 8/99(Port.267/88),Cruzeiro (70 a 86)
150,Cancelado,BTN
151,"Baixado por prescrição da ação execut. (Lei 9873/99,art.2º)",Cruzeiro (90 a 93)
152,Prestação de serviço em andamento,Real
153,"Baixado por prescrição da pret. punit. (Lei 9873/99,art.1º)",UFIR
154,Cancelado na homologação (AI sem defesa),UFIR
155,Excluído da cobrança judicial,Real
156,Análise do pedido de adesão(PRD),Real
157,Em cobrança judicial,Cruzeiro Real
158,Inscrito na dívida ativa,Cruzeiro Real
159,Cancelado,Cruzeiro Real
160,Pedido de defesa ao Superintendente,Cruzeiro (90 a 93)
161,"Baixado por prescrição da pret. punit. (Lei 9873/99,art.1º)",Cruzeiro Real
162,Análise do pedido p/PREST. SERV. DE FORMA INDIRETA,Real
163,Execução suspensa por determ. judicial/Ped. Parcto,Real
164,Insuficiência de dados p/cobrança administrativa,Real
165,"Baixado por prescrição da pret. punit. (Lei 9873/99,art.1º)",Cruzado Novo
166,Rescisão de parcelamento no Sapiens Dívida,Real
167,Quitado. Baixa manual,Cruzeiro Real
168,Baixado c/base na IN 23/01.IN/IBDF 01/80,Real
169,Excluído da cobrança judicial,Cruzeiro (70 a 86)
170,Quitado. Cancelado o saldo devedor,Cruzeiro (70 a 86)
171,Para homologação/prazo de defesa,BTN
172,Rescisão de parcelamento extra judicial,BTN
173,Quitado. Baixa automática,BTN
174,Baixado por determinação judicial,BTN
175,Em cobrança judicial,BTN
176,Notificado e aguardando pagamento,BTN
177,Baixado por determinação judicial,Cruzado
178,Quitado. Cobrança múltipla,Real
179,Excluído,Cruzado Novo
180,Excluído da cobrança judicial,Cruzeiro (90 a 93)
181,Enviado à DIJUR p/inscrição na dívida ativa,Cruzeiro (90 a 93)
182,"Baixado por prescrição da ação execut. (Lei 9873/99,art.2º)",BTN
183,Excluído da cobrança judicial,BTN
184,Ajuizado,Cruzeiro Real
185,Baixado por prescrição intercorrente durante anál. jurídica,Cruzado Novo
186,Baixado por determinação judicial,Cruzeiro (90 a 93)
187,"Quitado p/pagto à vista (Leis 12249,12865,12973,12996,13043)",Cruzeiro (90 a 93)
188,Notificado e aguardando pagamento/recurso,Cruzeiro (90 a 93)
189,Baixado por prescrição intercorrente durante anál. jurídica,BTN
190,Cancelado,UFIR
191,Ajuizado,Cruzeiro (90 a 93)
192,Em cobrança judicial,Cruzeiro (90 a 93)
193,Excluído da cobrança judicial,Cruzado
194,Baixado c/base na Lei 9960/00,Cruzado
195,Inscrito na dívida ativa,Cruzeiro (90 a 93)
196,Excluído,BTN
197,Quitado. Baixa automática,Cruzado Novo
198,Baixado c/base na IN 23/01.IN/IBDF 01/80,Cruzado Novo
199,Quitado. Cancelado o saldo devedor,Cruzado
200,Notificado e aguardando pagamento,Cruzado Novo
201,Em cobrança judicial,Cruzado
202,Quitado. Baixa manual,Cruzado Novo
203,Baixado por determinação judicial,Cruzeiro Real
204,Baixado presc. - aguard.lim.Port.AGU 377/11-Port.PGF 916/11,Cruzeiro Real
205,Baixado por prescrição intercorrente durante anál. jurídica,Cruzeiro Real
206,Edital publicado,Cruzeiro Real
207,Notificado e aguardando pagamento,Cruzado
208,Apólice seguro garantia judicial,Real
209,Substituição de multa por advertência ¿ 2ª instância,Real
210,Enviado ao Sapiens Dívida,Real
211,Conversão de multa rescindida,Real
212,Adesão conversão de multa 50%,Real
213,Parcelado pela 1ª vez,UFIR
214,Quitado. Cancelado o saldo devedor,Cruzeiro (90 a 93)
215,Baixado por prescrição intercorrente durante anál. jurídica,Cruzeiro (90 a 93)
216,Para homologação/prazo de defesa,Cruzado Novo
217,"Para nova homologação, devido a alterações",BTN
218,Baixado por cumprimento de TAC,Real
219,Baixado - Defesa deferida,Cruzeiro Real
220,Notificado e aguardando pagamento,Cruzeiro Real
221,Baixado c/base na Lei 9960/00,Cruzeiro (90 a 93)
222,Para homologação/prazo de defesa,Cruzeiro (70 a 86)
223,Análise do pedido p/PREST. SERV. DE FORMA DIRETA,Real
224,Pedido de recurso ao Ministro do MMA,Real
225,Baixado c/base na IN 42/04. Port. 440/89,Real
226,Baixado - Recurso ao Conama deferido,Real
227,"Para nova homologação, devido a alterações",UFIR
228,Quitado. Baixa manual,Cruzeiro (70 a 86)
229,Em cobrança judicial,Cruzeiro (70 a 86)
230,Baixado c/base na Lei 9960/00,Cruzeiro (70 a 86)
231,Quitado. Baixa manual,UFIR
232,Excluído,Cruzeiro (70 a 86)
233,Inscrito na dívida ativa,Cruzado
234,Baixado c/base na Lei 9960/00,Cruzeiro Real
235,Quitado. Cancelado o saldo devedor,UFIR
236,Baixado - Defesa deferida,UFIR
237,Excluído,Cruzado
238,"Baixado por prescrição da pret. punit. (Lei 9873/99,art.1º)",MVR
239,Baixado por determinação judicial,Cruzeiro (70 a 86)
240,Parcelado pela 1ª vez,Cruzeiro (90 a 93)
241,Pedido de defesa ao Superintendente,BTN
242,Excluído devido a duplicidade de lançamento,MVR
243,"Parcelado, sem juros adicionais",BTN
244,Notificado e aguardando pagamento,Cruzeiro (70 a 86)
245,Análise admis/mérito de impugnação/defesa,Cruzeiro Real
246,Excluído,Cruzeiro (90 a 93)
247,Edital publicado,Cruzeiro (70 a 86)
248,Aguardando pagamento ou notificação,Cruzado
249,Notificado e aguardando pagamento,Cruzeiro (90 a 93)
250,Baixado c/base na Lei 9960/00,Cruzado Novo
251,Baixado - Defesa deferida,BTN
252,Excluído da cobrança judicial,UFIR
253,Para homologação/prazo de defesa,UFIR
254,Baixado c/base na IN 8/99(Port.267/88),OTN
255,Parcelado pela 1ª vez,Cruzeiro Real
256,Inscrito na dívida ativa,BTN
257,Em REPARAÇÃO de dano ambiental,Real
258,"Baixado por prescrição da ação execut. (Lei 9873/99,art.2º)",Cruzeiro Real
259,Crédito ativo com óbice técnico,Cruzeiro (90 a 93)
260,Baixado c/base na IN 23/01.IN/IBDF 01/80,BTN
261,"Baixado por prescrição da pret. punit. (Lei 9873/99,art.1º)",OTN
262,Baixado por prescrição intercorrente durante anál. jurídica,Cruzado
263,Em cobrança judicial,OTN
264,Aguardando pagamento ou notificação,Cruzeiro (90 a 93)
265,Quitado. Baixa automática,MVR
266,Insuficiência de dados p/cobrança administrativa,Cruzeiro Real
267,Em cobrança judicial,UFIR
268,Quitado. Cancelado o saldo devedor,Cruzeiro Real
269,Aguardando pagamento ou notificação,Cruzeiro Real
270,Aguardando pagamento ou notificação,UFIR
271,Quitado. Baixa manual efetuada pela CGARR,Cruzeiro Real
272,"Parcelado, sem juros adicionais",Cruzeiro Real
273,"Para nova homologação, devido a alterações",Cruzado
274,Inscrito na dívida ativa,Cruzeiro (70 a 86)
275,Inscrito na dívida ativa,Cruzado Novo
276,Excluído da cobrança judicial,Cruzado Novo
277,Aguardando pagamento ou notificação,Cruzado Novo
278,Baixado c/base na Lei 9960/00,UFIR
279,Em cobrança judicial,Cruzado Novo
280,"Parcelado, sem juros adicionais",Cruzado
281,Encaminhado p/análise de recurso em 3ª instân. Órgão externo,Real
282,Baixado c/base no Dec. 3179/99. P. Serviço,Cruzeiro Real
283,Baixado c/base na IN 42/04. Port. 440/89,Cruzeiro (90 a 93)
284,Análise admis/mérito de impugnação/defesa,Cruzeiro (70 a 86)
285,Quitado. Cancelado o saldo devedor,Cruzado Novo
286,Excluído,OTN
287,Quitado. Baixa manual,OTN
288,Pedido de recurso ao Conama,Real
289,Baixado c/base na IN 23/01.IN/IBDF 01/80,Cruzeiro (90 a 93)
290,Baixado c/base na Lei 9960/00,OTN
291,Baixado - Defesa deferida,Cruzeiro (70 a 86)
292,Ajuizado,Cruzeiro (70 a 86)
293,Insuficiência de dados p/cobrança administrativa,UFIR
